Year_Month,Travel_Mode,Card_type,Trip
2018-11,Bus,Child/Youth Single Bus Trip 1,28168
2018-11,Bus,Child/Youth Single Bus Trip 2,19078
2018-11,Bus,Child/Youth Single Bus Trip 3,5046
2018-11,Bus,Concession,1440331
2018-11,Bus,Day Pass Child/Youth w/o SAF,25
2018-11,Bus,Day Pass without SAF,489
2018-11,Bus,Employee,91102
2018-11,Bus,Free Travel,42416
2018-11,Bus,On Demand,5377
2018-11,Bus,Other,174528
2018-11,Bus,School Student,2817780
2018-11,Bus,Senior/Pensioner,4382870
2018-11,Ferry,Adult,890859
2018-11,Ferry,CTP,20715
2018-11,Ferry,Child/Youth,74587
2018-11,Ferry,Concession,23239
2018-11,Ferry,Day Pass without SAF,4
2018-11,Ferry,Employee,4554
2018-11,Ferry,Free Travel,2079
2018-11,Ferry,School Student,4822
2018-11,Ferry,Senior/Pensioner,185824
2018-11,Ferry,Sgl Trip Ferry Adult,51364
2018-11,Ferry,Sgl Trip Ferry Child/Youth,6894
2018-11,Light rail,Adult,625784
2018-11,Light rail,CTP,12894
2018-11,Light rail,Child/Youth,37283
2018-11,Light rail,Concession,29136
2018-11,Light rail,Day Pass without SAF,2
2018-11,Light rail,Employee,1300
2018-11,Light rail,Free Travel,888
2018-11,Light rail,School Student,7228
2018-11,Light rail,Senior/Pensioner,136671
2018-11,Light rail,Sgl Trip LR Adult,2752
2018-11,Light rail,Sgl Trip LR Child/Youth,330
2018-11,Train,Adult,27025348
2018-11,Train,CTP,29061
2018-11,Train,Child/Youth,1033964
2018-11,Train,Concession,1798391
2018-11,Train,Day Pass Child/Youth w/o SAF,11
2018-11,Train,Day Pass without SAF,459
2018-11,Train,Employee,319734
2018-11,Train,Free Travel,35582
2018-11,Train,School Student,1152486
2018-11,Train,Senior/Pensioner,3037349
2018-11,Train,Sgl Trip Rail Adult,321285
2018-11,Train,Sgl Trip Rail Child/Youth,49652
2018-12,Bus,Adult,14104676
2018-12,Bus,Adult Single Bus Trip 1,112904
2018-12,Bus,Adult Single Bus Trip 2,63021
2018-12,Bus,Adult Single Bus Trip 3,21892
2018-12,Bus,Child/Youth,1423439
2018-12,Bus,Child/Youth Single Bus Trip 1,32811
2018-12,Bus,Child/Youth Single Bus Trip 2,25849
2018-12,Bus,Child/Youth Single Bus Trip 3,7956
2018-12,Bus,Concession,1021477
2018-12,Bus,Day Pass Child/Youth w/o SAF,29
2018-12,Bus,Day Pass without SAF,426
2018-12,Bus,Employee,82198
2018-12,Bus,Free Travel,38642
2018-12,Bus,On Demand,6439
2018-12,Bus,Other,65839
2018-12,Bus,School Student,1248913
2018-12,Bus,Senior/Pensioner,4089027
2018-12,Ferry,Adult,1019143
2018-12,Ferry,CTP,45727
2018-12,Ferry,Child/Youth,137948
2018-12,Ferry,Concession,24831
2018-12,Ferry,Day Pass without SAF,4
2018-12,Ferry,Employee,5371
2018-12,Ferry,Free Travel,2110
2018-12,Ferry,School Student,2594
2018-12,Ferry,Senior/Pensioner,187090
2018-12,Ferry,Sgl Trip Ferry Adult,62404
2018-12,Ferry,Sgl Trip Ferry Child/Youth,16424
2018-12,Light rail,Adult,610683
2018-12,Light rail,CTP,19441
2018-12,Light rail,Child/Youth,45017
2018-12,Light rail,Concession,24245
2018-12,Light rail,Day Pass without SAF,1
2018-12,Light rail,Employee,1259
2018-12,Light rail,Free Travel,858
2018-12,Light rail,School Student,2917
2018-12,Light rail,Senior/Pensioner,140990
2018-12,Light rail,Sgl Trip LR Adult,3036
2018-12,Light rail,Sgl Trip LR Child/Youth,711
2018-12,Train,Adult,23050018
2018-12,Train,CTP,400255
2018-12,Train,Child/Youth,1319800
2018-12,Train,Concession,1345643
2018-12,Train,Day Pass Child/Youth w/o SAF,6
2018-12,Train,Day Pass without SAF,366
2018-12,Train,Employee,272003
2018-12,Train,Free Travel,29670
2018-12,Train,School Student,512431
2018-12,Train,Senior/Pensioner,2815946
2018-12,Train,Sgl Trip Rail Adult,306621
2018-12,Train,Sgl Trip Rail Child/Youth,71697
2019-01,Bus,Adult,14752879
2019-01,Bus,Adult Single Bus Trip 1,110735
2019-01,Bus,Adult Single Bus Trip 2,61336
2019-01,Bus,Adult Single Bus Trip 3,20411
2019-01,Bus,Child/Youth,1653909
2019-01,Bus,Child/Youth Single Bus Trip 1,38810
2019-01,Bus,Child/Youth Single Bus Trip 2,31393
2019-01,Bus,Child/Youth Single Bus Trip 3,9539
2019-01,Bus,Concession,1004593
2019-01,Bus,Day Pass Child/Youth w/o SAF,18
2019-01,Bus,Day Pass without SAF,725
2019-01,Bus,Employee,85279
2019-01,Bus,Free Travel,38510
2019-01,Bus,On Demand,7041
2019-01,Bus,Other,48037
2019-01,Bus,School Student,205934
2019-01,Bus,Senior/Pensioner,3970989
2019-01,Ferry,Adult,1027527
2019-01,Ferry,CTP,58537
2019-01,Ferry,Child/Youth,196867
2019-01,Ferry,Concession,26120
2019-01,Ferry,Day Pass without SAF,8
2019-01,Ferry,Employee,5535
2019-01,Ferry,Free Travel,2397
2019-01,Ferry,School Student,496
2019-01,Ferry,Senior/Pensioner,222000
2019-01,Ferry,Sgl Trip Ferry Adult,61360
2019-01,Ferry,Sgl Trip Ferry Child/Youth,19149
2019-01,Light rail,Adult,440804
2019-01,Light rail,CTP,18576
2019-01,Light rail,Child/Youth,42875
2019-01,Light rail,Concession,18357
2019-01,Light rail,Day Pass without SAF,4
2019-01,Light rail,Employee,896
2019-01,Light rail,Free Travel,593
2019-01,Light rail,School Student,560
2019-01,Light rail,Senior/Pensioner,100259
2019-01,Light rail,Sgl Trip LR Adult,1740
2019-01,Light rail,Sgl Trip LR Child/Youth,569
2019-01,Train,Adult,23174619
2019-01,Train,CTP,559514
2019-01,Train,Child/Youth,1511478
2019-01,Train,Concession,1291370
2019-01,Train,Day Pass Child/Youth w/o SAF,15
2019-01,Train,Day Pass without SAF,493
2019-01,Train,Employee,274738
2019-01,Train,Free Travel,29386
2019-01,Train,School Student,88704
2019-01,Train,Senior/Pensioner,2671807
2019-01,Train,Sgl Trip Rail Adult,250355
2019-01,Train,Sgl Trip Rail Child/Youth,73085
2019-02,Bus,Adult,15426206
2019-02,Bus,Adult Single Bus Trip 1,99772
2019-02,Bus,Adult Single Bus Trip 2,54290
2019-02,Bus,Adult Single Bus Trip 3,17375
2019-02,Bus,Child/Youth,1357664
2019-02,Bus,Child/Youth Single Bus Trip 1,21631
2019-02,Bus,Child/Youth Single Bus Trip 2,15276
2019-02,Bus,Child/Youth Single Bus Trip 3,4340
2019-02,Bus,Concession,1415444
2019-02,Bus,Day Pass Child/Youth w/o SAF,46
2019-02,Bus,Day Pass without SAF,659
2019-02,Bus,Employee,87689
2019-02,Bus,Free Travel,40466
2019-02,Bus,On Demand,8098
2019-02,Bus,Other,0
2019-02,Bus,School Student,3034805
2019-02,Bus,Senior/Pensioner,4130053
2019-02,Ferry,Adult,876044
2019-02,Ferry,CTP,47051
2019-02,Ferry,Child/Youth,67142
2019-02,Ferry,Concession,23079
2019-02,Ferry,Day Pass without SAF,11
2019-02,Ferry,Employee,4613
2019-02,Ferry,Free Travel,2254
2019-02,Ferry,School Student,3433
2019-02,Ferry,Senior/Pensioner,191521
2019-02,Ferry,Sgl Trip Ferry Adult,45285
2019-02,Ferry,Sgl Trip Ferry Child/Youth,6282
2019-02,Light rail,Adult,613130
2019-02,Light rail,CTP,25195
2019-02,Light rail,Child/Youth,42123
2019-02,Light rail,Concession,29066
2019-02,Light rail,Day Pass without SAF,6
2019-02,Light rail,Employee,1354
2019-02,Light rail,Free Travel,1147
2019-02,Light rail,School Student,8614
2019-02,Light rail,Senior/Pensioner,164339
2019-02,Light rail,Sgl Trip LR Adult,2796
2019-02,Light rail,Sgl Trip LR Child/Youth,580
2019-02,Train,Adult,24235381
2019-02,Train,CTP,612866
2019-02,Train,Child/Youth,1030042
2019-02,Train,Concession,1692708
2019-02,Train,Day Pass Child/Youth w/o SAF,15
2019-02,Train,Day Pass without SAF,502
2019-02,Train,Employee,299251
2019-02,Train,Free Travel,32805
2019-02,Train,School Student,1203113
2019-02,Train,Senior/Pensioner,2837854
2019-02,Train,Sgl Trip Rail Adult,235026
2019-02,Train,Sgl Trip Rail Child/Youth,39201
2019-03,Bus,Adult,16865038
2019-03,Bus,Adult Single Bus Trip 1,104426
2019-03,Bus,Adult Single Bus Trip 2,56005
2019-03,Bus,Adult Single Bus Trip 3,18478
2019-03,Bus,Child/Youth,1388228
2019-03,Bus,Child/Youth Single Bus Trip 1,24315
2019-03,Bus,Child/Youth Single Bus Trip 2,16792
2019-03,Bus,Child/Youth Single Bus Trip 3,4803
2019-03,Bus,Concession,2273012
2019-03,Bus,Day Pass Child/Youth w/o SAF,90
2019-03,Bus,Day Pass without SAF,989
2019-03,Bus,Employee,94200
2019-03,Bus,Free Travel,43399
2019-03,Bus,On Demand,9767
2019-03,Bus,Other,0
2019-03,Bus,School Student,3406548
2019-03,Bus,Senior/Pensioner,4436133
2019-03,Ferry,Adult,891646
2019-03,Ferry,CTP,52039
2019-03,Ferry,Child/Youth,69720
2019-03,Ferry,Concession,28579
2019-03,Ferry,Day Pass Child/Youth w/o SAF,6
2019-03,Ferry,Day Pass without SAF,13
2019-03,Ferry,Employee,4519
2019-03,Ferry,Free Travel,2303
2019-03,Ferry,School Student,3635
2019-03,Ferry,Senior/Pensioner,195448
2019-03,Ferry,Sgl Trip Ferry Adult,46412
2019-03,Ferry,Sgl Trip Ferry Child/Youth,6437
2019-03,Light rail,Adult,696793
2019-03,Light rail,CTP,32869
2019-03,Light rail,Child/Youth,45828
2019-03,Light rail,Concession,43393
2019-03,Light rail,Day Pass Child/Youth w/o SAF,1
2019-03,Light rail,Day Pass without SAF,15
2019-03,Light rail,Employee,1817
2019-03,Light rail,Free Travel,1409
2019-03,Light rail,School Student,9944
2019-03,Light rail,Senior/Pensioner,173382
2019-03,Light rail,Sgl Trip LR Adult,3569
2019-03,Light rail,Sgl Trip LR Child/Youth,1046
2019-03,Train,Adult,26870901
2019-03,Train,CTP,715994
2019-03,Train,Child/Youth,1091466
2019-03,Train,Concession,2792174
2019-03,Train,Day Pass Child/Youth w/o SAF,54
2019-03,Train,Day Pass without SAF,685
2019-03,Train,Employee,330137
2019-03,Train,Free Travel,34783
2019-03,Train,School Student,1321749
2019-03,Train,Senior/Pensioner,3059039
2019-03,Train,Sgl Trip Rail Adult,268079
2019-03,Train,Sgl Trip Rail Child/Youth,45205
2019-04,Bus,Adult,14959627
2019-04,Bus,Adult Single Bus Trip 1,93026
2019-04,Bus,Adult Single Bus Trip 2,48668
2019-04,Bus,Adult Single Bus Trip 3,17329
2019-04,Bus,Child/Youth,1449736
2019-04,Bus,Child/Youth Single Bus Trip 1,27868
2019-04,Bus,Child/Youth Single Bus Trip 2,21897
2019-04,Bus,Child/Youth Single Bus Trip 3,6122
2019-04,Bus,Concession,1834882
2019-04,Bus,Day Pass Child/Youth w/o SAF,48
2019-04,Bus,Day Pass without SAF,773
2019-04,Bus,Employee,85255
2019-04,Bus,Free Travel,38720
2019-04,Bus,On Demand,9784
2019-04,Bus,School Student,1735455
2019-04,Bus,Senior/Pensioner,4113032
2019-04,Ferry,Adult,917392
2019-04,Ferry,CTP,54154
2019-04,Ferry,Child/Youth,149389
2019-04,Ferry,Concession,25473
2019-04,Ferry,Day Pass without SAF,12
2019-04,Ferry,Employee,4575
2019-04,Ferry,Free Travel,2306
2019-04,Ferry,School Student,1955
2019-04,Ferry,Senior/Pensioner,211530
2019-04,Ferry,Sgl Trip Ferry Adult,49727
2019-04,Ferry,Sgl Trip Ferry Child/Youth,15970
2019-04,Light rail,Adult,610905
2019-04,Light rail,CTP,31478
2019-04,Light rail,Child/Youth,57364
2019-04,Light rail,Concession,33409
2019-04,Light rail,Day Pass without SAF,5
2019-04,Light rail,Employee,1496
2019-04,Light rail,Free Travel,1259
2019-04,Light rail,School Student,5178
2019-04,Light rail,Senior/Pensioner,159245
2019-04,Light rail,Sgl Trip LR Adult,3567
2019-04,Light rail,Sgl Trip LR Child/Youth,1620
2019-04,Train,Adult,24276410
2019-04,Train,CTP,710888
2019-04,Train,Child/Youth,1331399
2019-04,Train,Concession,2257676
2019-04,Train,Day Pass Child/Youth w/o SAF,23
2019-04,Train,Day Pass without SAF,658
2019-04,Train,Employee,304321
2019-04,Train,Free Travel,31756
2019-04,Train,School Student,690414
2019-04,Train,Senior/Pensioner,2898742
2019-04,Train,Sgl Trip Rail Adult,241881
2019-04,Train,Sgl Trip Rail Child/Youth,66510
2019-05,Bus,Adult,16827324
2019-05,Bus,Adult Single Bus Trip 1,93036
2019-05,Bus,Adult Single Bus Trip 2,49965
2019-05,Bus,Adult Single Bus Trip 3,16623
2019-05,Bus,Child/Youth,1256375
2019-05,Bus,Child/Youth Single Bus Trip 1,20657
2019-05,Bus,Child/Youth Single Bus Trip 2,14135
2019-05,Bus,Child/Youth Single Bus Trip 3,3968
2019-05,Bus,Concession,1882427
2019-05,Bus,Day Pass Child/Youth w/o SAF,68
2019-05,Bus,Day Pass without SAF,787
2019-05,Bus,Employee,99204
2019-05,Bus,Free Travel,44534
2019-05,Bus,On Demand,11130
2019-05,Bus,School Student,3592972
2019-05,Bus,Senior/Pensioner,4586037
2019-05,Ferry,Adult,787055
2019-05,Ferry,CTP,51727
2019-05,Ferry,Child/Youth,66200
2019-05,Ferry,Concession,24888
2019-05,Ferry,Day Pass Child/Youth w/o SAF,178
2019-05,Ferry,Day Pass without SAF,22
2019-05,Ferry,Employee,5002
2019-05,Ferry,Free Travel,2331
2019-05,Ferry,School Student,3720
2019-05,Ferry,Senior/Pensioner,201703
2019-05,Ferry,Sgl Trip Ferry Adult,31501
2019-05,Ferry,Sgl Trip Ferry Child/Youth,5522
2019-05,Light rail,Adult,625322
2019-05,Light rail,CTP,34183
2019-05,Light rail,Child/Youth,37874
2019-05,Light rail,Concession,36161
2019-05,Light rail,Day Pass Child/Youth w/o SAF,9
2019-05,Light rail,Day Pass without SAF,13
2019-05,Light rail,Employee,1537
2019-05,Light rail,Free Travel,1393
2019-05,Light rail,School Student,11280
2019-05,Light rail,Senior/Pensioner,161232
2019-05,Light rail,Sgl Trip LR Adult,2534
2019-05,Light rail,Sgl Trip LR Child/Youth,632
2019-05,Metro,Adult,219429
2019-05,Metro,CTP,7887
2019-05,Metro,Child/Youth,6186
2019-05,Metro,Concession,19058
2019-05,Metro,Day Pass without SAF,5
2019-05,Metro,Employee,3142
2019-05,Metro,Free Travel,333
2019-05,Metro,School Student,13436
2019-05,Metro,Senior/Pensioner,24600
2019-05,Metro,Sgl Trip Rail Adult,1696
2019-05,Metro,Sgl Trip Rail Child/Youth,332
2019-05,Train,Adult,27859455
2019-05,Train,CTP,893575
2019-05,Train,Child/Youth,972256
2019-05,Train,Concession,2479155
2019-05,Train,Day Pass Child/Youth w/o SAF,38
2019-05,Train,Day Pass without SAF,626
2019-05,Train,Employee,366432
2019-05,Train,Free Travel,38389
2019-05,Train,School Student,1461690
2019-05,Train,Senior/Pensioner,3208060
2019-05,Train,Sgl Trip Rail Adult,236129
2019-05,Train,Sgl Trip Rail Child/Youth,46316
2019-06,Bus,Adult,14504498
2019-06,Bus,Adult Single Bus Trip 1,80555
2019-06,Bus,Adult Single Bus Trip 2,42267
2019-06,Bus,Adult Single Bus Trip 3,13191
2019-06,Bus,Child/Youth,1175335
2019-06,Bus,Child/Youth Single Bus Trip 1,19193
2019-06,Bus,Child/Youth Single Bus Trip 2,13566
2019-06,Bus,Child/Youth Single Bus Trip 3,3543
2019-06,Bus,Concession,1555717
2019-06,Bus,Day Pass Child/Youth w/o SAF,50
2019-06,Bus,Day Pass without SAF,832
2019-06,Bus,Employee,86459
2019-06,Bus,Free Travel,37745
2019-06,Bus,On Demand,9946
2019-06,Bus,School Student,2754915
2019-06,Bus,Senior/Pensioner,3942952
2019-06,Ferry,Adult,756440
2019-06,Ferry,CTP,55609
2019-06,Ferry,Child/Youth,101453
2019-06,Ferry,Concession,23397
2019-06,Ferry,Day Pass Child/Youth w/o SAF,80
2019-06,Ferry,Day Pass without SAF,8
2019-06,Ferry,Employee,4698
2019-06,Ferry,Free Travel,2020
2019-06,Ferry,School Student,2963
2019-06,Ferry,Senior/Pensioner,178127
2019-06,Ferry,Sgl Trip Ferry Adult,32282
2019-06,Ferry,Sgl Trip Ferry Child/Youth,9985
2019-06,Light rail,Adult,640884
2019-06,Light rail,CTP,35044
2019-06,Light rail,Child/Youth,48131
2019-06,Light rail,Concession,35869
2019-06,Light rail,Day Pass without SAF,11
2019-06,Light rail,Employee,1647
2019-06,Light rail,Free Travel,1098
2019-06,Light rail,School Student,8583
2019-06,Light rail,Senior/Pensioner,161787
2019-06,Light rail,Sgl Trip LR Adult,2841
2019-06,Light rail,Sgl Trip LR Child/Youth,785
2019-06,Metro,Adult,1144461
2019-06,Metro,CTP,34882
2019-06,Metro,Child/Youth,112236
2019-06,Metro,Concession,145218
2019-06,Metro,Day Pass without SAF,6
2019-06,Metro,Employee,10974
2019-06,Metro,Free Travel,2296
2019-06,Metro,School Student,92249
2019-06,Metro,Senior/Pensioner,143843
2019-06,Metro,Sgl Trip Rail Adult,12588
2019-06,Metro,Sgl Trip Rail Child/Youth,7851
2019-06,Train,Adult,23861758
2019-06,Train,CTP,867911
2019-06,Train,Child/Youth,1044267
2019-06,Train,Concession,1808606
2019-06,Train,Day Pass Child/Youth w/o SAF,17
2019-06,Train,Day Pass without SAF,671
2019-06,Train,Employee,326446
2019-06,Train,Free Travel,32272
2019-06,Train,School Student,1090865
2019-06,Train,Senior/Pensioner,2807164
2019-06,Train,Sgl Trip Rail Adult,218974
2019-06,Train,Sgl Trip Rail Child/Youth,53349
2019-07,Bus,Adult,15823165
2019-07,Bus,Adult Single Bus Trip 1,87764
2019-07,Bus,Adult Single Bus Trip 2,46970
2019-07,Bus,Adult Single Bus Trip 3,11597
2019-07,Bus,Child/Youth,1578565
2019-07,Bus,Child/Youth Single Bus Trip 1,29117
2019-07,Bus,Child/Youth Single Bus Trip 2,21315
2019-07,Bus,Child/Youth Single Bus Trip 3,5469
2019-07,Bus,Concession,1578007
2019-07,Bus,Day Pass Child/Youth w/o SAF,61
2019-07,Bus,Day Pass without SAF,900
2019-07,Bus,Employee,95618
2019-07,Bus,Free Travel,42759
2019-07,Bus,On Demand,22584
2019-07,Bus,School Student,1644170
2019-07,Bus,Senior/Pensioner,4334952
2019-07,Ferry,Adult,790593
2019-07,Ferry,CTP,50349
2019-07,Ferry,Child/Youth,148948
2019-07,Ferry,Concession,22642
2019-07,Ferry,Day Pass Child/Youth w/o SAF,83
2019-07,Ferry,Day Pass without SAF,10
2019-07,Ferry,Employee,4647
2019-07,Ferry,Free Travel,1954
2019-07,Ferry,School Student,1752
2019-07,Ferry,Senior/Pensioner,185699
2019-07,Ferry,Sgl Trip Ferry Adult,35865
2019-07,Ferry,Sgl Trip Ferry Child/Youth,15817
2019-07,Light rail,Adult,669127
2019-07,Light rail,CTP,37082
2019-07,Light rail,Child/Youth,65526
2019-07,Light rail,Concession,33597
2019-07,Light rail,Day Pass without SAF,20
2019-07,Light rail,Employee,1502
2019-07,Light rail,Free Travel,1291
2019-07,Light rail,School Student,4780
2019-07,Light rail,Senior/Pensioner,169509
2019-07,Light rail,Sgl Trip LR Adult,2885
2019-07,Light rail,Sgl Trip LR Child/Youth,1653
2019-07,Metro,Adult,1390001
2019-07,Metro,CTP,36923
2019-07,Metro,Child/Youth,164783
2019-07,Metro,Concession,134159
2019-07,Metro,Day Pass Child/Youth w/o SAF,1
2019-07,Metro,Day Pass without SAF,22
2019-07,Metro,Employee,10328
2019-07,Metro,Free Travel,2159
2019-07,Metro,School Student,45109
2019-07,Metro,Senior/Pensioner,155990
2019-07,Metro,Sgl Trip Rail Adult,10958
2019-07,Metro,Sgl Trip Rail Child/Youth,8387
2019-07,Train,Adult,25768860
2019-07,Train,CTP,890275
2019-07,Train,Child/Youth,1380506
2019-07,Train,Concession,1800701
2019-07,Train,Day Pass Child/Youth w/o SAF,27
2019-07,Train,Day Pass without SAF,797
2019-07,Train,Employee,351847
2019-07,Train,Free Travel,35294
2019-07,Train,School Student,646026
2019-07,Train,Senior/Pensioner,2993919
2019-07,Train,Sgl Trip Rail Adult,212479
2019-07,Train,Sgl Trip Rail Child/Youth,67391
2019-08,Bus,Adult,15900861
2019-08,Bus,Adult Single Bus Trip 1,79217
2019-08,Bus,Adult Single Bus Trip 2,40983
2019-08,Bus,Adult Single Bus Trip 3,10600
2019-08,Bus,CTP,45975
2019-08,Bus,Child/Youth,1260371
2019-08,Bus,Child/Youth Single Bus Trip 1,19594
2019-08,Bus,Child/Youth Single Bus Trip 2,12843
2019-08,Bus,Child/Youth Single Bus Trip 3,3384
2019-08,Bus,Concession,1914213
2019-08,Bus,Day Pass Child/Youth w/o SAF,113
2019-08,Bus,Day Pass without SAF,905
2019-08,Bus,Employee,94889
2019-08,Bus,Free Travel,42665
2019-08,Bus,On Demand,23135
2019-08,Bus,School Student,3182243
2019-08,Bus,Senior/Pensioner,4320530
2019-08,Ferry,Adult,724780
2019-08,Ferry,CTP,58355
2019-08,Ferry,Child/Youth,80831
2019-08,Ferry,Concession,22873
2019-08,Ferry,Day Pass Child/Youth w/o SAF,349
2019-08,Ferry,Day Pass without SAF,28
2019-08,Ferry,Employee,3847
2019-08,Ferry,Free Travel,1954
2019-08,Ferry,School Student,3467
2019-08,Ferry,Senior/Pensioner,168724
2019-08,Ferry,Sgl Trip Ferry Adult,31988
2019-08,Ferry,Sgl Trip Ferry Child/Youth,8804
2019-08,Light rail,Adult,673022
2019-08,Light rail,CTP,43751
2019-08,Light rail,Child/Youth,45254
2019-08,Light rail,Concession,41982
2019-08,Light rail,Day Pass without SAF,15
2019-08,Light rail,Employee,1651
2019-08,Light rail,Free Travel,1325
2019-08,Light rail,School Student,10457
2019-08,Light rail,Senior/Pensioner,168039
2019-08,Light rail,Sgl Trip LR Adult,2823
2019-08,Light rail,Sgl Trip LR Child/Youth,727
2019-08,Metro,Adult,1437608.152822
2019-08,Metro,CTP,56587.369194
2019-08,Metro,Child/Youth,85909.397498
2019-08,Metro,Concession,251912.472671
2019-08,Metro,Day Pass Child/Youth w/o SAF,2
2019-08,Metro,Day Pass without SAF,11.28536
2019-08,Metro,Employee,9626.619657
2019-08,Metro,Free Travel,1974.199695
2019-08,Metro,School Student,93320.330596
2019-08,Metro,Senior/Pensioner,135069.624612
2019-08,Metro,Sgl Trip Rail Adult,8621.263354
2019-08,Metro,Sgl Trip Rail Child/Youth,3949.219067
2019-08,Train,Adult,25583771
2019-08,Train,CTP,1113001
2019-08,Train,Child/Youth,948560
2019-08,Train,Concession,2374111
2019-08,Train,Day Pass Child/Youth w/o SAF,33
2019-08,Train,Day Pass without SAF,939
2019-08,Train,Employee,349886
2019-08,Train,Free Travel,35716
2019-08,Train,School Student,1273508
2019-08,Train,Senior/Pensioner,2993017
2019-08,Train,Sgl Trip Rail Adult,210421
2019-08,Train,Sgl Trip Rail Child/Youth,44548
2019-09,Bus,Adult,15217496
2019-09,Bus,Adult Single Bus Trip 1,69894
2019-09,Bus,Adult Single Bus Trip 2,35769
2019-09,Bus,Adult Single Bus Trip 3,8661
2019-09,Bus,CTP,286305
2019-09,Bus,Child/Youth,1230301
2019-09,Bus,Child/Youth Single Bus Trip 1,18939
2019-09,Bus,Child/Youth Single Bus Trip 2,12737
2019-09,Bus,Child/Youth Single Bus Trip 3,3586
2019-09,Bus,Concession,1651851
2019-09,Bus,Day Pass Child/Youth w/o SAF,64
2019-09,Bus,Day Pass without SAF,965
2019-09,Bus,Employee,91530
2019-09,Bus,Free Travel,39795
2019-09,Bus,On Demand,23624
2019-09,Bus,School Student,2788612
2019-09,Bus,Senior/Pensioner,4146158
2019-09,Ferry,Adult,748378
2019-09,Ferry,CTP,81461
2019-09,Ferry,Child/Youth,83066
2019-09,Ferry,Concession,23149
2019-09,Ferry,Day Pass Child/Youth w/o SAF,273
2019-09,Ferry,Day Pass without SAF,35
2019-09,Ferry,Employee,4019
2019-09,Ferry,Free Travel,2031
2019-09,Ferry,School Student,2959
2019-09,Ferry,Senior/Pensioner,173519
2019-09,Ferry,Sgl Trip Ferry Adult,29810
2019-09,Ferry,Sgl Trip Ferry Child/Youth,7458
2019-09,Light rail,Adult,575721
2019-09,Light rail,CTP,47200
2019-09,Light rail,Child/Youth,36991
2019-09,Light rail,Concession,34294
2019-09,Light rail,Day Pass Child/Youth w/o SAF,67
2019-09,Light rail,Day Pass without SAF,32
2019-09,Light rail,Employee,1354
2019-09,Light rail,Free Travel,1094
2019-09,Light rail,School Student,9169
2019-09,Light rail,Senior/Pensioner,148612
2019-09,Light rail,Sgl Trip LR Adult,2291
2019-09,Light rail,Sgl Trip LR Child/Youth,543
2019-09,Metro,Adult,1395364
2019-09,Metro,CTP,78623
2019-09,Metro,Child/Youth,87350
2019-09,Metro,Concession,188829
2019-09,Metro,Day Pass without SAF,8
2019-09,Metro,Employee,9631
2019-09,Metro,Free Travel,1872
2019-09,Metro,School Student,88990
2019-09,Metro,Senior/Pensioner,127687
2019-09,Metro,Sgl Trip Rail Adult,7742
2019-09,Metro,Sgl Trip Rail Child/Youth,3881
2019-09,Train,Adult,24439462
2019-09,Train,CTP,1419949
2019-09,Train,Child/Youth,958683
2019-09,Train,Concession,2030930
2019-09,Train,Day Pass Child/Youth w/o SAF,180
2019-09,Train,Day Pass without SAF,835
2019-09,Train,Employee,335156
2019-09,Train,Free Travel,34036
2019-09,Train,School Student,1156754
2019-09,Train,Senior/Pensioner,2906578
2019-09,Train,Sgl Trip Rail Adult,193064
2019-09,Train,Sgl Trip Rail Child/Youth,42711
2019-10,Bus,Adult,15278827
2019-10,Bus,Adult Single Bus Trip 1,68763
2019-10,Bus,Adult Single Bus Trip 2,35689
2019-10,Bus,Adult Single Bus Trip 3,8464
2019-10,Bus,CTP,1367495
2019-10,Bus,Child/Youth,1503845
2019-10,Bus,Child/Youth Single Bus Trip 1,23363
2019-10,Bus,Child/Youth Single Bus Trip 2,16736
2019-10,Bus,Child/Youth Single Bus Trip 3,4514
2019-10,Bus,Concession,1789622
2019-10,Bus,Day Pass Child/Youth w/o SAF,94
2019-10,Bus,Day Pass without SAF,1091
2019-10,Bus,Employee,96225
2019-10,Bus,Free Travel,42777
2019-10,Bus,On Demand,25895
2019-10,Bus,School Student,1933260
2019-10,Bus,Senior/Pensioner,4467434
2019-10,Ferry,Adult,782712
2019-10,Ferry,CTP,144705
2019-10,Ferry,Child/Youth,121078
2019-10,Ferry,Concession,23124
2019-10,Ferry,Day Pass Child/Youth w/o SAF,528
2019-10,Ferry,Day Pass without SAF,76
2019-10,Ferry,Employee,5071
2019-10,Ferry,Free Travel,2311
2019-10,Ferry,School Student,2381
2019-10,Ferry,Senior/Pensioner,211866
2019-10,Ferry,Sgl Trip Ferry Adult,36475
2019-10,Ferry,Sgl Trip Ferry Child/Youth,10120
2019-10,Light rail,Adult,631702
2019-10,Light rail,CTP,82384
2019-10,Light rail,Child/Youth,56750
2019-10,Light rail,Concession,36384
2019-10,Light rail,Day Pass Child/Youth w/o SAF,13
2019-10,Light rail,Day Pass without SAF,20
2019-10,Light rail,Employee,1756
2019-10,Light rail,Free Travel,1323
2019-10,Light rail,School Student,6472
2019-10,Light rail,Senior/Pensioner,178727
2019-10,Light rail,Sgl Trip LR Adult,2286
2019-10,Light rail,Sgl Trip LR Child/Youth,848
2019-10,Metro,Adult,1461547.869332
2019-10,Metro,CTP,148911.53751
2019-10,Metro,Child/Youth,139949.152945
2019-10,Metro,Concession,234295.329512
2019-10,Metro,Day Pass without SAF,11.993033
2019-10,Metro,Employee,9796.150491
