Year_Month,Travel_Mode,Card_type,Trip
2016-10,Ferry,Sgl Trip Ferry Adult,52692
2016-10,Ferry,Sgl Trip Ferry Child/Youth,9442
2016-10,Light rail,Adult,554854
2016-10,Light rail,Child/Youth,39224
2016-10,Light rail,Concession,26874
2016-10,Light rail,Employee,1
2016-10,Light rail,Free Travel,899
2016-10,Light rail,School Student,4304
2016-10,Light rail,Senior/Pensioner,147173
2016-10,Light rail,Sgl Trip LR Adult,2916
2016-10,Light rail,Sgl Trip LR Child/Youth,715
2016-10,Train,Adult,22608261
2016-10,Train,Child/Youth,1120560
2016-10,Train,Concession,2065326
2016-10,Train,Employee,289301
2016-10,Train,Free Travel,30205
2016-10,Train,School Student,759479
2016-10,Train,Senior/Pensioner,2859632
2016-10,Train,Sgl Trip Rail Adult,311836
2016-10,Train,Sgl Trip Rail Child/Youth,62233
2016-11,Bus,Adult,14203977
2016-11,Bus,Adult Single Bus Trip 1,190359
2016-11,Bus,Adult Single Bus Trip 2,122653
2016-11,Bus,Adult Single Bus Trip 3,48268
2016-11,Bus,Child/Youth,1142170
2016-11,Bus,Child/Youth Single Bus Trip 1,57618
2016-11,Bus,Child/Youth Single Bus Trip 2,33400
2016-11,Bus,Child/Youth Single Bus Trip 3,9669
2016-11,Bus,Concession,1391898
2016-11,Bus,Employee,76755
2016-11,Bus,Free Travel,36217
2016-11,Bus,School Student,2792634
2016-11,Bus,Senior/Pensioner,4316765
2016-11,Ferry,Adult,929645
2016-11,Ferry,Child/Youth,76663
2016-11,Ferry,Concession,25891
2016-11,Ferry,Employee,5914
2016-11,Ferry,Free Travel,2271
2016-11,Ferry,School Student,2150
2016-11,Ferry,Senior/Pensioner,195969
2016-11,Ferry,Sgl Trip Ferry Adult,57975
2016-11,Ferry,Sgl Trip Ferry Child/Youth,6023
2016-11,Light rail,Adult,511961
2016-11,Light rail,Child/Youth,28564
2016-11,Light rail,Concession,25699
2016-11,Light rail,Free Travel,776
2016-11,Light rail,School Student,5599
2016-11,Light rail,Senior/Pensioner,130118
2016-11,Light rail,Sgl Trip LR Adult,2204
2016-11,Light rail,Sgl Trip LR Child/Youth,344
2016-11,Train,Adult,23867512
2016-11,Train,Child/Youth,1036526
2016-11,Train,Concession,1707681
2016-11,Train,Employee,318627
2016-11,Train,Free Travel,33096
2016-11,Train,School Student,1013962
2016-11,Train,Senior/Pensioner,2969184
2016-11,Train,Sgl Trip Rail Adult,320085
